name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra
ReactJS-Portfolio,SanketJ29,Developed a responsive portfolio website using ReactJS.,https://github.com/SanketJ29/ReactJS-Portfolio,2023-01-01,1,1,0,0,0,0,0,16909,,"HTML,JavaScript,CSS",JavaScript,,,"css,html,javascript,lottie-animation,material-ui,reactjs",
Auto_ChatApp,Sunilrath101,"This is ""auto response chat  app"" . It is auto response with the help of chatGPT ",https://github.com/Sunilrath101/Auto_ChatApp,2023-01-01,1,1,1,0,0,0,0,395,,"HTML,JavaScript,CSS",JavaScript,Production,,"cors,css3,expressjs,javascript,openai,reactjs",
users-api,Gabrieldison,a simple api made in typescript to learn the main backend concepts,https://github.com/Gabrieldison/users-api,2023-01-01,1,1,0,0,0,0,0,77,,TypeScript,TypeScript,,,"docker,javascript,mongodb,solid-principles,typescript,projects",
an_artists_touch,sidneysquidney,An Artist's Touch website. Built using javascript and react. An Artist's Touch is a window cleaning company that supports the arts - every cleaner is a musician.,https://github.com/sidneysquidney/an_artists_touch,2023-01-01,1,1,0,0,0,0,2,100387,,"HTML,CSS,JavaScript",JavaScript,an-artists-touch,,,
calculator-with-js,omerozceylan,,https://github.com/omerozceylan/calculator-with-js,2023-01-01,1,1,0,0,0,0,0,20,,"JavaScript,HTML,CSS",JavaScript,"github-pages,Production",,"calculator,javascript,javascript-applications,javascript-vanilla,vanilla-javascript,vanilla-js",
CodeForGood-Annadhan,imverma,An Android application which allows donors to donate their leftover food to volunteers who further donate it to poor and needy people and an interactive website.,https://github.com/imverma/CodeForGood-Annadhan,2023-01-01,1,1,0,0,0,0,0,5766,,"Java,CSS,JavaScript,HTML,PHP",Java,,Admin,"css3,google-maps-api,html5,java,javascript,php",
Amazon-Clone,Dhyaneshwar,"Reimagine the shopping experience with the Amazon Clone repository. Crafted with React, Firebase, and cutting-edge CSS, this project offers a hands-on journey into e-commerce UI/UX. Uncover the secrets behind Amazon's success, one line of code at a time. 🛒💻 #AmazonClone #WebDev #Ecommerce",https://github.com/Dhyaneshwar/Amazon-Clone,2023-01-01,1,1,0,0,0,0,3,338,,"HTML,CSS,JavaScript",JavaScript,,,"css,firebase,html,javascript,react-saga,reactjs",
SnakeGame,PRANJALI-SANKPAL,This projects is all about HTML CSS and JavaScript. I made this project for my better understanding of concepts. I took reference from youTube for making this project.,https://github.com/PRANJALI-SANKPAL/SnakeGame,2023-01-01,1,1,0,0,0,0,0,10352,,"CSS,HTML,JavaScript",JavaScript,,,,
SpotifyWeb-Clone,SanketJ29,It is a small clone of Spotify.,https://github.com/SanketJ29/SpotifyWeb-Clone,2023-01-01,1,1,0,0,0,0,0,387,,"HTML,JavaScript,CSS",JavaScript,,,"css,html,javascript,react-redux,reactjs,redux",
camila-site,Arttutu,"Site feito para a psicóloga Camila Andrade, utilizando boostrap e jquery. Com intuito de aprender e desenvolver um projeto real do zero",https://github.com/Arttutu/camila-site,2023-01-01,1,1,1,0,0,0,0,38958,,"CSS,HTML,JavaScript",JavaScript,github-pages,,"bootstrap,css,html,javascript,jquery,jquery-plugin",
portfolio,sharbelxo,Personal Website & Portfolio Redirection Page,https://github.com/sharbelxo/portfolio,2023-01-01,1,2,0,0,0,0,0,9940,,"HTML,JavaScript",JavaScript,Production,,"javascript,mui,nodejs,react,css,html",
E-commerce-app,86andrey,,https://github.com/86andrey/E-commerce-app,2023-01-01,1,1,0,0,0,0,0,511,,"JavaScript,CSS",JavaScript,Production,,"javascript,nextjs,react,sanity,stripe,vercel",
TheFoodApp,BeastPleasure,A clone of a food delivery service app ,https://github.com/BeastPleasure/TheFoodApp,2023-01-01,1,1,0,0,0,0,0,311,,"HTML,JavaScript,CSS",JavaScript,,,"api,css,javascript,reactjs,tailwindcss,vscode",
todolist,lezcanodev,,https://github.com/lezcanodev/todolist,2023-01-01,1,1,0,0,0,0,0,508,,,,,,"express,javascript,mongoose,nodejs,react,todolist",
vue-budget,hpvl1,Simple Budget List project Vue 3,https://github.com/hpvl1/vue-budget,2023-01-01,1,1,0,0,0,0,2,74,,"HTML,JavaScript,Vue,CSS",Vue,,,"firebase,javascript,vite,vuejs,vuelidate,vuetify",
employee-manager-app,paulovieirajr,App to manage employees made with Angular and Spring,https://github.com/paulovieirajr/employee-manager-app,2023-01-01,1,1,0,0,0,0,0,263,,"Java,TypeScript,HTML,SCSS",TypeScript,,,"angular,javascript,spring,spring-boot,typescript,webapp",
cheat-sheet,Salvador318Alvarez,Site made for reviewing what I've learned,https://github.com/Salvador318Alvarez/cheat-sheet,2023-01-01,1,1,0,0,0,0,0,46,,"HTML,TypeScript,CSS",TypeScript,,,"html,css,javascript,learn-to-code,learning,study-notes",
desafio01-trilha-nodejs,marcusvsd,Solução do primeiro desafio da trilha Node.js do Bootcamp Ignite da Rocketseat,https://github.com/marcusvsd/desafio01-trilha-nodejs,2023-01-01,1,1,0,0,0,0,1,182,,JavaScript,JavaScript,,,"backend,development,javascript,nodejs,rocketseat,rocketseat-ignite",
capturesmartphonecamera,NiinumaToshitaka,JavaScriptの勉強のために、スマートフォンでキャプチャした画像をサーバへ送信するwebアプリケーションを実装する。,https://github.com/NiinumaToshitaka/capturesmartphonecamera,2023-01-01,1,1,0,0,0,0,0,70,,"Python,JavaScript,HTML",Python,,,,
Edit-Delete-table-jquery,ionic-tutorials,"In this post, i would like to share with y ou a way to add edit and delete rows of a hypertext markup language table with javascript or jquery.",https://github.com/ionic-tutorials/Edit-Delete-table-jquery,2023-01-01,1,1,0,0,0,0,0,2,,"HTML,CSS",HTML,,,"jquery,delete-table,edit-table",
opinion-and-rating-app,JoannaPatyk,Opinion and rating App is a web application that allows users to provide opinions and ratings for products or services. The application is written in JavaScript using the React framework.,https://github.com/JoannaPatyk/opinion-and-rating-app,2023-01-01,1,1,0,0,0,0,0,490,,"HTML,JavaScript,CSS",JavaScript,,,"css,html,react",
solidity_course,greenMakaroni,"Coding smart contracts on Ethereum blockchain using Solidity. ""Learn Blockchain, Solidity, and Full Stack Web3 Development with JavaScript"" // Thanks FreeCodeCamp // Link: https://www.youtube.com/watch?v=gyMwXuJrbJQ&t=9934s",https://github.com/greenMakaroni/solidity_course,2023-01-01,1,3,0,0,0,0,3,371,,"Solidity,JavaScript",JavaScript,,,,
AluraOne-Challenge01-Encriptador,LucianoCJ,"Encriptador de texto desarrollado en HTML, CSS y JavaScript el primer Challenge del proyecto One de Oracle+Alura LATAM.  Link del proyecto desplegado: https://lucianocj.github.io/AluraOne-Challenge01-Encriptador/ ",https://github.com/LucianoCJ/AluraOne-Challenge01-Encriptador,2023-01-01,1,1,1,0,0,0,0,41,,"CSS,HTML,JavaScript",CSS,github-pages,,challengeonecodificador4,
web3-ethereum-real-state-zillow-clone,nawodyaishan,"A decentralized real estate management platform built using React, Solidity, and Hardhat. This application allows users to securely list properties, manage transactions, and interact with the Ethereum blockchain using MetaMask and a local Hardhat development network.",https://github.com/nawodyaishan/web3-ethereum-real-state-zillow-clone,2023-01-01,1,2,0,1,0,0,0,1825,,"Solidity,JavaScript,HTML,CSS",JavaScript,,,"blockchain,ethereum,javascript,react,smart-contracts,solidity,hardhat",
go-qr-frontend,rezairfanwijaya,,https://github.com/rezairfanwijaya/go-qr-frontend,2023-01-01,1,1,0,0,0,0,0,365,,"HTML,CSS,JavaScript,Dockerfile",CSS,,,"javascript,qrcode-generator,reactjs,rest-api,tailwindcss,containerization,docker",
Problem-Solving,Engineering-Excellence,Problem Solving,https://github.com/Engineering-Excellence/Problem-Solving,2023-01-01,1,1,0,0,0,0,0,2819,,"Java,Python,Haskell,C,JavaScript,CMake,Jupyter Notebook",Java,,,"java,python,javascript,algorithms,data-structures,c,cpp",
tenzies,hinedy,Tenzies. A react.js App,https://github.com/hinedy/tenzies,2023-01-01,1,1,0,0,0,0,0,31,,"HTML,CSS,JavaScript",JavaScript,,,"css,dice,game,javascript,react,reactjs,scrimba",
PImage,codedbyissa,"To add pin in images in a responsive and dynamic way, PImage has two versions, one for edit and one for view",https://github.com/codedbyissa/PImage,2023-01-01,1,1,0,0,0,0,0,6710,,"HTML,JavaScript,CSS",JavaScript,github-pages,,"css,html,image,javascript,pin,js,pinsinimage",
CV-site,Gubchik123,My CV site,https://github.com/Gubchik123/CV-site,2023-01-01,1,1,1,0,0,0,0,3778,,"HTML,CSS,JavaScript",HTML,,,"css3,cv,html5,javascript,aos,bootstrap5,ionicons",
jquery-accordion-faq,neluttu,Just a simple jQuery FAQ Accordion script,https://github.com/neluttu/jquery-accordion-faq,2023-01-01,1,1,1,0,0,0,0,47,,"HTML,JavaScript,CSS",HTML,github-pages,,"accordion,css,faq,html,jquery,script,javascript",
Energikollen,arnetzlinder,Energikollen skapades som ett projekt i kursen i Javascript vid Medieinstitutet FrontEndDeveloper-utbildning december 2022. Den hämtar information från ett externt API och berättar dels vad elpriset är just nu och framåt.,https://github.com/arnetzlinder/Energikollen,2023-01-01,1,1,0,0,0,0,0,5483,,"JavaScript,HTML,TypeScript,SCSS",JavaScript,,,,
Portfolio-Project,JaiSharma1999,"This is my website project in which i've used my html ,css ,JavaScript skills . This website shows my work and what services i may offer and also how to contact me .",https://github.com/JaiSharma1999/Portfolio-Project,2023-01-01,1,1,0,0,0,0,0,14479,,"HTML,CSS",CSS,,,"css,html",
Online-Food-Shop,Monjur6,"It was developed by PHP, CSS, JavaScript and Oracle Database. In database there is PLSQL, TRIGGER, SEQUENCE, SEARCHING, ADVANCE SEARCHING, PROCEDURE, FUNCTION, CURSOR, QUERY, SUBQUERY, EQUI JOIN, NON EQUI JOIN, EXCEPTION HANDLING.",https://github.com/Monjur6/Online-Food-Shop,2023-01-01,1,1,0,0,0,0,0,13100,,"PHP,Hack,JavaScript,CSS",PHP,,,"advance-search,css,cursor,function,javascript,oracle-10g,php,plsql,procedure,query",
Call-Back-Hell,NoorulAmeenJ,I created countdown event ,https://github.com/NoorulAmeenJ/Call-Back-Hell,2023-01-01,1,1,0,0,0,0,0,0,,"HTML,JavaScript,CSS",JavaScript,,,"callback,css3,flex,functions,html5,javascript,settimeout",
sudoku,guido-pasciucco,"A simple sudoku game made with HTML, CSS, JS",https://github.com/guido-pasciucco/sudoku,2023-01-01,1,1,0,0,0,0,0,7,,"JavaScript,CSS,HTML",JavaScript,,,"css,game,html,javascript,js,sudoku,sudoku-generator",
cere-voice,stever,Simple application for synthesised speech samples using CereProc.,https://github.com/stever/cere-voice,2023-01-01,1,1,0,0,0,0,0,789,,"HTML,JavaScript,TypeScript,CSS",JavaScript,github-pages,,"voice-synthesis,cereproc,gh-pages,tsc,requirejs,javascript,typescript",
next-netflix,mehmetenfa,"Netflix Clone with Next.js, Typescript and Tailwind CSS (not finished)",https://github.com/mehmetenfa/next-netflix,2023-01-01,1,1,0,0,0,0,0,192,,"JavaScript,TypeScript,CSS",TypeScript,,,"heroicons,html,javascript,nextjs,react,tailwindcss,typescript",
ecommerce-apicall-JSON,fidelcastroran,intern,https://github.com/fidelcastroran/ecommerce-apicall-JSON,2023-01-01,1,1,0,0,0,0,0,6,,"JavaScript,HTML,CSS",JavaScript,,,"css3,es6,html5,javascript,json,json-api,netlify",
World-Population-Tracker,YKerroum,"A go-to source website for accurate and up-to-date information on the worldwide population.It is an easy-to-use website that offers a wealth of data and insights on population trends and demographics for continents and countries around the World, all presented in a clear and visually engaging format.",https://github.com/YKerroum/World-Population-Tracker,2023-01-01,1,1,0,0,0,1,3,1849,,"HTML,CSS,JavaScript",JavaScript,,,"bootstrap,javascript,jest,react-redux,react-router-dom,reactjs,redux-thunk",
book-library-api,cocomarine,A book library API created using an Express.js app connected via Sequelize to a PostgreSQL database in a Docker container.,https://github.com/cocomarine/book-library-api,2023-01-01,1,1,1,1,0,0,1,336,,JavaScript,JavaScript,,,"expressjs,javascript,nodejs,postgresql,api,api-documentation,supertest-mocha-chai",
