name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra
javascript-projects,dheerajj007,learning javascript by creating projects!,https://github.com/dheerajj007/javascript-projects,2023-01-01,1,1,0,0,0,0,0,3,,"HTML,JavaScript,CSS",CSS,,,,
javascript-clock,nicchy123,,https://github.com/nicchy123/javascript-clock,2023-01-01,1,1,1,0,0,0,0,1,,"JavaScript,HTML",HTML,github-pages,,,
javascript-course,bierozka,,https://github.com/bierozka/javascript-course,2023-01-01,1,1,0,0,0,0,0,2,,JavaScript,JavaScript,,,,
javascript-tasks,GiftEna,,https://github.com/GiftEna/javascript-tasks,2023-01-01,1,1,0,0,0,0,0,3,,"CSS,JavaScript,HTML",HTML,,,,
login_javascript,subhanabdi,,https://github.com/subhanabdi/login_javascript,2023-01-01,1,2,0,0,0,0,0,4,,HTML,HTML,,,,
javascript-calculator,Moselova,a javascript calculator i made but it i made it to show only on mobile lol,https://github.com/Moselova/javascript-calculator,2023-01-01,1,1,0,0,0,0,0,3,,"HTML,JavaScript,CSS",JavaScript,,,,
javascript-practice,RecalledLion,,https://github.com/RecalledLion/javascript-practice,2023-01-01,1,1,0,0,0,0,0,1,,HTML,HTML,,,,
javascript-tutorial,nayeemmehedi,,https://github.com/nayeemmehedi/javascript-tutorial,2023-01-01,1,1,0,0,0,0,0,1,,,,,,,
Javascript-Programs,nityadevsingh,All my javascript Programs ,https://github.com/nityadevsingh/Javascript-Programs,2023-01-01,1,1,1,0,0,0,0,1,,JavaScript,JavaScript,,,,
javascript-clock,caleblopez96,,https://github.com/caleblopez96/javascript-clock,2023-01-01,1,1,0,0,0,0,0,6,,"HTML,JavaScript,CSS",CSS,,,,
javascript-projects,Atikrg,,https://github.com/Atikrg/javascript-projects,2023-01-01,1,1,0,0,0,0,0,43823,,"JavaScript,HTML,CSS,SCSS",JavaScript,,,,
Javascript_Worker,WuMengChe,,https://github.com/WuMengChe/Javascript_Worker,2023-01-01,1,1,0,0,0,0,0,11,,"HTML,CSS,JavaScript",JavaScript,,,,
this-javascript,Suyog8383,,https://github.com/Suyog8383/this-javascript,2023-01-01,1,1,0,0,0,0,0,1,,HTML,HTML,,,,
Javascript_Exercises,hakeem0114,Testing,https://github.com/hakeem0114/Javascript_Exercises,2023-01-01,1,1,0,0,0,0,0,2,,HTML,HTML,,,,
Javascript-Assisnment,Anjali7leo,,https://github.com/Anjali7leo/Javascript-Assisnment,2023-01-01,1,1,0,0,0,0,0,3,,JavaScript,JavaScript,,,,
Projects-Javascript,Albert1616,,https://github.com/Albert1616/Projects-Javascript,2023-01-01,1,1,0,0,0,0,0,12,,,,,,,
learning-javascript,Ramankumarlal007,leaning how to use vscode online,https://github.com/Ramankumarlal007/learning-javascript,2023-01-01,1,0,0,0,0,0,0,2,,JavaScript,JavaScript,,,,
javascript-tutorial-,olukojusamuel,,https://github.com/olukojusamuel/javascript-tutorial-,2023-01-01,1,1,0,0,0,0,0,0,,,,,,,
javascript-apps,Hellnar,A list of project ideas with code examples and tutorials to learn and practice JavaScript.,https://github.com/Hellnar/javascript-apps,2023-01-01,1,1,0,0,0,0,0,11,,"HTML,JavaScript,CSS",HTML,,,,
javascript_1,Tikhon123,,https://github.com/Tikhon123/javascript_1,2023-01-01,1,1,0,0,0,0,0,0,,,,,,,
javascript_dropdown,arudu,Using javascript to create a dropdown menu,https://github.com/arudu/javascript_dropdown,2023-01-01,1,1,0,0,0,0,0,2,,"JavaScript,HTML,CSS",CSS,,,,
Javascript-Basico,batista7557,Estudo de javascript moderno básico,https://github.com/batista7557/Javascript-Basico,2023-01-01,1,1,1,0,0,0,0,7,,JavaScript,JavaScript,,,,
Learn_Javascript,shivanand-jha,"Javascript with concept , code , problem Question  ",https://github.com/shivanand-jha/Learn_Javascript,2023-01-01,1,1,0,0,0,0,0,2,,JavaScript,JavaScript,,,,
javascript-budget,msburns24,A HTML/CSS/JS program to generate budget reports from CSV files.,https://github.com/msburns24/javascript-budget,2023-01-01,1,1,0,0,0,0,0,2245,,"CSS,HTML,JavaScript",JavaScript,,,,
Javascript-DSA,aryanamdev,Solutions of Data Structures and Alogrithm series.,https://github.com/aryanamdev/Javascript-DSA,2023-01-01,1,1,1,0,0,0,0,3,,JavaScript,JavaScript,,,,
estudos-javascript,ericsporto,estudos javascript,https://github.com/ericsporto/estudos-javascript,2023-01-01,1,1,0,0,0,0,0,3,MIT,JavaScript,JavaScript,,,,
javascript-playground,pagarevijayy,For testing javascript concepts quickly.,https://github.com/pagarevijayy/javascript-playground,2023-01-01,1,2,0,0,0,0,0,1480,,"JavaScript,Nix",JavaScript,,,javascript,
javascript_training,LEENARA1,"자바스크립트 배운내용 이틀째(array, object, 데이터바인딩, 인풋, forEach,for in,Ajax",https://github.com/LEENARA1/javascript_training,2023-01-01,1,1,0,0,0,0,0,2,,"CSS,HTML",HTML,,,,
Javascript_practice,SR0sohan,,https://github.com/SR0sohan/Javascript_practice,2023-01-01,1,1,0,0,0,0,0,9,,JavaScript,JavaScript,,,,
jesttest,Toheeb-Ojuolape,writing unit tests in javascript,https://github.com/Toheeb-Ojuolape/jesttest,2023-01-01,1,1,2,0,0,0,0,4823,,"CSS,JavaScript,HTML",HTML,,,,
Personal-Portfolio,Suraj-Encoding,"My Personal Portfolio Website using HTML, CSS, Javascript",https://github.com/Suraj-Encoding/Personal-Portfolio,2023-01-01,1,1,3,0,0,0,0,21569,,"CSS,JavaScript,HTML",HTML,github-pages,,portfolio,
ALOHA-simulation,AbbasHabib,pure ALOHA protocol simulation using pure vanilla javascript,https://github.com/AbbasHabib/ALOHA-simulation,2023-01-01,1,1,3,0,0,0,0,1278,,"JavaScript,HTML,CSS",JavaScript,github-pages,,,
JavaScript-Function,francesmitchell,A Simple JavaScript Function,https://github.com/francesmitchell/JavaScript-Function,2023-01-01,1,1,0,0,0,0,0,3,,JavaScript,JavaScript,,,,
JavaScript-syntax-,NziokiDennis,This is what js syntax looks like,https://github.com/NziokiDennis/JavaScript-syntax-,2023-01-01,1,1,0,0,0,0,1,1,,,,,,,
JavaScript-Sheet,ankitbhoi,,https://github.com/ankitbhoi/JavaScript-Sheet,2023-01-01,1,1,0,0,0,0,0,7,,JavaScript,JavaScript,,,,
JavaScript-Projects,AnandDubey1711,,https://github.com/AnandDubey1711/JavaScript-Projects,2023-01-01,1,1,0,0,0,0,0,7711,,"JavaScript,HTML,CSS",CSS,,,,
My-Javascript--Learning,Rohitjakkam,My Whole journey of Javascript,https://github.com/Rohitjakkam/My-Javascript--Learning,2023-01-01,1,1,1,0,0,0,0,3,,JavaScript,JavaScript,,,,
MyJavascriptClasses,OgbuEsther,,https://github.com/OgbuEsther/MyJavascriptClasses,2023-01-01,1,1,1,0,0,0,0,5,,JavaScript,JavaScript,,,,
Simple-Javascript-Projects,S-Alif,Some simple and beginner javascript projects,https://github.com/S-Alif/Simple-Javascript-Projects,2023-01-01,1,1,0,1,0,0,0,8674,,"HTML,JavaScript,CSS",JavaScript,,,,
JavaScript_Moderno,JTarrillo,,https://github.com/JTarrillo/JavaScript_Moderno,2023-01-01,1,1,0,0,0,0,0,6,,"HTML,JavaScript,CSS",JavaScript,,,,
mini-projet-javascript,badr-sl,,https://github.com/badr-sl/mini-projet-javascript,2023-01-01,1,1,1,0,0,0,0,450,,"JavaScript,HTML,CSS",HTML,github-pages,,,
